City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,30.45,49,0,4.12,US,1721590067
1,polyarnyy,69.1989,33.4478,18.96,66,92,1.7,RU,1721590068
2,adamstown,-25.066,-130.1015,18.8,66,95,8.88,PN,1721590069
3,yellowknife,62.456,-114.3525,26.34,42,75,3.09,CA,1721590070
4,port alfred,-33.5906,26.891,13.04,68,8,2.54,ZA,1721590071
5,waitangi,-43.9535,-176.5597,9.9,99,100,4.02,NZ,1721590072
6,kone,-21.0595,164.8658,15.95,85,18,1.58,NC,1721590074
7,taro,-8.3862,115.28,22.0,100,70,0.73,ID,1721590075
8,nogliki,51.8333,143.1667,13.7,99,100,2.28,RU,1721590076
9,kodiak,57.79,-152.4072,15.73,77,75,4.63,US,1721590077
10,tazovsky,67.4667,78.7,5.76,70,8,3.67,RU,1721590078
11,olonkinbyen,70.9221,-8.7187,5.91,98,100,7.71,SJ,1721590079
12,olinda,-8.0089,-34.8553,26.85,69,40,6.17,BR,1721590080
13,idri,27.5,13.2667,34.86,16,0,3.16,LY,1721590081
14,ahmadpur east,29.1431,71.2598,40.99,28,31,2.4,PK,1721590083
15,uturoa,-16.7333,-151.4333,24.8,56,99,9.74,PF,1721590084
16,udachny,66.4167,112.4,15.72,93,100,6.33,RU,1721590085
17,newman,37.3138,-121.0208,33.36,17,0,0.14,US,1721590087
18,kapit,2.0167,112.9333,24.14,95,99,0.5,MY,1721590088
19,ad dawadimi,24.5077,44.3924,34.64,12,100,4.28,SA,1721590089
20,cabedelo,-6.9811,-34.8339,27.37,78,12,7.82,BR,1721590090
21,qaqortoq,60.7167,-46.0333,7.86,80,12,2.14,GL,1721590092
22,edinburgh of the seven seas,-37.0676,-12.3116,10.16,64,95,14.81,SH,1721590093
23,christchurch,-43.5333,172.6333,8.28,87,40,5.66,NZ,1721590074
24,steamboat springs,40.485,-106.8317,25.75,58,40,1.54,US,1721590095
25,anadyr,64.75,177.4833,11.28,87,100,3.0,RU,1721590096
26,port-aux-francais,-49.35,70.2167,3.85,97,100,11.4,TF,1721590097
27,tame,6.461,-71.73,26.38,85,89,1.5,CO,1721590098
28,saddiqabad,28.3062,70.1307,33.21,55,100,8.11,PK,1721590099
29,lent'ekhi,42.7856,42.7261,17.44,94,65,1.53,GE,1721590100
30,malango,-2.9627,119.9001,19.6,94,100,0.53,ID,1721590102
31,papatowai,-46.5619,169.4708,7.38,82,93,5.96,NZ,1721590103
32,wenling,28.3669,121.36,26.69,94,100,2.72,CN,1721590104
33,hithadhoo,-0.6,73.0833,29.34,73,6,4.85,MV,1721590105
34,dakhla,23.6848,-15.958,21.01,88,0,15.43,EH,1721590106
35,blackmans bay,-43.0167,147.3167,11.52,85,100,1.02,AU,1721590107
36,isafjordur,66.0755,-23.124,9.02,76,75,6.69,IS,1721590108
37,whitehorse,60.7161,-135.0538,25.05,46,75,0.0,CA,1721590109
38,saipan,15.1355,145.701,28.39,89,40,2.06,MP,1721590111
39,ilulissat,69.2167,-51.1,10.01,71,75,2.06,GL,1721590112
40,georgetown,5.4112,100.3354,29.97,83,20,1.54,MY,1721590113
41,thompson,55.7435,-97.8558,27.09,50,75,1.03,CA,1721590114
42,otuzco,-7.9,-78.5833,17.9,37,17,2.92,PE,1721590115
